RNA,Locus
XM_036980043.1,LOC110525872
XM_021606352.2,LOC110525872
XM_036980047.1,LOC110525872
XM_036980045.1,LOC110525872
XM_036980046.1,LOC110525872
XM_021606353.2,LOC110525874
XM_036981744.1,unclassified transcription discrepancy
XM_021606354.2,LOC110525875
XM_036980049.1,LOC110525875
XM_036980050.1,LOC110525875
XM_021606355.2,LOC110525876
trnag,tRNA
XR_005052090.1,LOC110525877
XR_005052091.1,LOC110525877
XM_021606357.2,LOC110525877
XM_021606359.2,LOC110525877
XM_036980051.1,LOC110525877
NM_001160626.1,annotated by transcript or proteomic data
XM_021606361.2,vamp8
XM_021606360.2,vamp8
XM_021606363.2,ncaph
XM_021606362.2,ncaph
XM_021606364.2,LOC110525880
XM_036980052.1,LOC110525880
XM_021606365.2,LOC110525881
XM_036980053.1,zgc:110329
XM_036981745.1,slc4a5a
XM_021606371.2,ogfod2
XM_021606370.2,ogfod2
XM_021606369.2,ogfod2
XM_021606367.2,abcb9
XM_036980055.1,LOC110525886
XM_021606376.2,ppp3cca
XM_036980057.1,ppp3cca
XM_021606377.2,ppp3cca
XM_021606375.2,ppp3cca
XM_021606379.2,ppp3cca
XM_036980056.1,ppp3cca
XM_021606378.2,ppp3cca
XM_021606373.2,LOC110525887
XM_021606380.2,tcim
XM_021606382.2,zmat4a
XM_021606385.2,sfrp1a
XM_021606386.2,LOC110525893
XM_036980059.1,LOC110525893
XM_036980061.1,loxl2b
XM_036980060.1,loxl2b
XM_021606387.2,loxl2b
XM_021606388.2,loxl2b
XM_036980064.1,hdr
XM_021606390.2,hdr
XM_036980063.1,hdr
XM_021606389.2,hdr
XM_021606392.2,LOC110525897
XM_021606393.2,LOC110525897
XM_021606391.2,LOC110525897
XR_005052437.1,LOC118965104
XM_036980065.1,htra4
XM_036980066.1,htra4
XM_021608077.2,unclassified transcription discrepancy
XM_021606395.2,tbx3b
XM_021606396.2,lman2lb
XM_021606398.2,lman2lb
XM_021606401.2,LOC110525902
XM_021606400.2,LOC110525902
XM_021606399.2,LOC110525902
XM_021604963.2,cd53
NM_001165182.1,annotated by transcript or proteomic data
XM_021606402.2,araf
XM_021606403.2,LOC110525905
XM_036980069.1,si:ch211-102c2.4
XM_036980068.1,rabl6b
XM_036980067.1,rabl6b
XM_021606407.2,rabl6b
XM_021606406.2,rabl6b
XR_002473840.2,LOC110525907
XM_021606409.2,traf2a
XM_021606408.2,traf2a
XM_036980070.1,traf2a
XR_005052093.1,LOC110525909
XR_005052092.1,LOC110525909
XM_021606412.2,LOC110525909
XM_021606411.2,LOC110525909
XM_021606410.2,LOC110525909
XM_021606413.2,LOC110525909
XM_036980071.1,LOC110525909
XM_021606414.2,b3galt8
XM_021606418.2,zgc:162952
XM_021606419.2,zgc:162952
XM_021606415.2,zgc:162952
XM_021606425.2,nsmfb
XM_021606424.2,nsmfb
XM_021606420.2,nsmfb
XM_021606428.2,nsmfb
XM_021606426.2,nsmfb
XM_021606421.2,nsmfb
XM_021606423.2,nsmfb
XM_021606422.2,nsmfb
XR_005052095.1,LOC110525916
XM_036980072.1,LOC110525916
XM_036980073.1,LOC110525916
XM_036980074.1,pnpla7b
XM_036980075.1,pnpla7b
XM_021606432.2,LOC110525918
XM_036980078.1,hsd17b3
XM_036980076.1,hsd17b3
XM_036980079.1,hsd17b3
XM_036980077.1,hsd17b3
XM_021606433.2,ercc6l2
XM_036980081.1,ptch1
XM_036980080.1,ptch1
XM_021606437.2,fancc
XM_021606436.2,fancc
trnaa,tRNA
XR_005052096.1,aopep
XR_005052097.1,aopep
XR_005052098.1,aopep
XR_005052099.1,aopep
XM_036980085.1,aopep
XM_036980083.1,aopep
XM_036980084.1,aopep
XM_036980082.1,aopep
XM_036980086.1,aopep
XR_005052100.1,LOC110525923
XM_036980088.1,dock8
XM_036980087.1,dock8
XM_036981746.1,unclassified transcription discrepancy
XM_036980089.1,foxd5
XM_021606441.2,pgm5
XM_021606443.2,LOC110525926
XM_036980092.1,LOC110525927
XM_021606445.2,LOC110525927
XM_021606447.2,LOC110525927
XM_036980090.1,ndufaf2
XM_036980091.1,ndufaf2
XM_021606448.2,LOC110525928
XM_036980093.1,LOC110525928
XM_021606451.2,LOC110525929
XM_021606450.2,LOC110525929
XM_021606452.2,LOC110525929
XM_021606453.2,LOC110525931
XM_021604986.2,LOC110525027
XM_021606454.2,LOC110525932
XM_021606456.2,LOC110525933
XM_021606457.2,LOC110525933
XM_021606461.2,LOC110525935
NM_001124249.2,annotated by transcript or proteomic data
XM_021604925.2,gk
XM_021606459.2,LOC110525934
XM_036980094.1,LOC110525934
XM_021606458.2,LOC110525934
XM_021606462.2,npc1l1
XM_036980095.1,LOC110525938
XM_021606465.2,LOC110525939
XM_036980097.1,LOC110525939
XM_036980098.1,LOC110525939
NM_001124202.1,annotated by transcript or proteomic data
XR_005052102.1,LOC110525940
XM_036980099.1,LOC110525940
XM_021606469.2,LOC110525941
XM_021606468.2,LOC110525941
XM_036980100.1,LOC110525942
XM_021606470.2,LOC110525942
XR_005052103.1,LOC110525943
XM_021606472.2,LOC110525945
XM_021606473.2,LOC110525946
XR_005052104.1,LOC110525947
XR_005052105.1,LOC110525947
XM_021606474.2,LOC110525947
XM_021606476.2,LOC110525947
XM_036980101.1,LOC110525948
XM_021606478.2,LOC110525949
XM_036980102.1,LOC110515628
XM_021606480.2,mrps27
XM_036980104.1,LOC110525953
XM_036980105.1,LOC110525953
XM_021606484.2,LOC110525953
XM_021606482.2,LOC110525953
XM_036980103.1,LOC110525952
XM_021604987.2,LOC110525028
XR_005052413.1,LOC118965077
XM_036980106.1,LOC118964866
XM_021604988.2,LOC110525029
XM_021606485.2,LOC110525954
XM_036980108.1,LOC110519741
XM_036980107.1,LOC118964867
XM_021608082.2,LOC110526900
XM_036980109.1,LOC110525956
XM_036980110.1,LOC110515135
XR_002473848.2,LOC110525958
XM_021606490.2,LOC110525957
XM_036980111.1,LOC110525959
XM_036980112.1,LOC110525959
XM_021606493.1,avp
XM_021606494.2,ccl27a
XM_036980113.1,slc35d2
XM_021606496.2,slc35d2
XM_021606495.2,LOC110525962
XR_002473851.2,LOC110525965
XM_036980119.1,LOC110525965
XM_021606506.2,LOC110525965
XM_021606505.2,LOC110525965
XM_021606504.2,LOC110525965
XM_021606502.2,LOC110525965
XM_021606501.2,LOC110525965
XM_036980117.1,LOC110525965
XM_036980118.1,LOC110525965
XM_036980114.1,LOC110525965
XM_036980116.1,LOC110525965
XM_036980115.1,LOC110525965
XM_021606507.2,LOC110525965
XM_021606508.2,LOC110525965
XM_036980121.1,fbxl17
XM_036980122.1,fbxl17
XM_036980120.1,fbxl17
XM_021606509.2,fbxl17
XR_005052107.1,LOC118964868
XM_036980124.1,efna5b
XM_036980123.1,efna5b
XR_002473854.2,LOC110525969
XR_005052414.1,LOC118965078
XR_002473698.2,LOC110525030
XM_021606514.2,gadd45ga
XM_021606513.2,creb3l3l
XM_036980126.1,creb3l3l
XM_036980125.1,creb3l3l
XM_021606516.2,nim1k
XM_021606515.2,nim1k
XM_021606520.2,znf131
XM_021606517.2,znf131
XM_021606518.2,znf131
XM_021606521.2,znf131
XM_036980127.1,znf131
XM_036980131.1,znf131
XM_036980128.1,znf131
XM_036980130.1,znf131
XM_021606522.2,LOC110525974
XM_036980132.1,LOC110525974
XM_021606524.2,ghra
XR_005052108.1,LOC118964869
XM_021606529.2,fbxo4
XM_036980133.1,fbxo4
XM_021606531.2,c6h5orf51
XM_021606527.2,oxct1a
XM_021606528.2,oxct1a
XM_021606530.2,plcxd3
NM_001124407.1,annotated by transcript or proteomic data
XM_021606533.2,rgs7bpa
XR_005052109.1,LOC118964870
XM_021604989.2,si:dkey-250l23.4
XM_021606534.2,htr1aa
XM_036980135.1,ipo11
XM_021606535.2,ipo11
XM_021606536.2,dph7
XM_021606537.2,dph7
XM_036980136.1,paxx
XM_021606540.2,paxx
XM_021606539.2,paxx
XM_036980143.1,LOC110525987
XM_036980140.1,LOC110525987
XM_036980141.1,LOC110525987
XM_036980139.1,LOC110525987
XM_036980138.1,LOC110525987
XM_036980142.1,LOC110525987
XM_021606542.2,LOC110525988
XM_021606543.2,npdc1b
XM_021606544.2,LOC110525990
XM_021606545.1,stxbp1b
XM_021606548.1,stxbp1b
XR_005052110.1,LOC118964871
XM_036981747.1,LOC110525992
XM_021606552.2,noxa1
XM_021606554.2,LOC110525994
XM_021606553.2,LOC110525994
XM_021606555.2,LOC110525994
XM_036980149.1,camsap1b
XM_036980147.1,camsap1b
XM_036980148.1,camsap1b
XM_021606561.2,LOC110525996
XM_021606562.2,LOC110525997
XM_021606563.2,LOC110525997
XM_021606567.2,LOC110525997
XM_021606568.2,LOC110525997
XM_021606569.2,LOC110525998
XR_005052112.1,LOC118964872
XM_021606571.2,LOC110525999
XM_036981749.1,LOC118965026
XM_021606572.2,col27a1b
XM_021606574.2,zgc:101858
XM_021606575.2,LOC110526002
XM_036980150.1,LOC110526002
XM_036980152.1,LOC110526002
XM_036980153.1,LOC110526002
XR_005052415.1,LOC118965079
XM_021606577.2,LOC110526003
XM_036980157.1,prodhb
XM_021606578.2,prodhb
XM_036980158.1,LOC110526005
XM_036980159.1,LOC110526005
XM_036980160.1,LOC110526005
XM_036980161.1,LOC110526005
XM_036980162.1,LOC110526005
XR_005052113.1,LOC118964874
XM_036980163.1,LOC110526006
XM_021606583.2,nf2a
XM_021606584.2,nf2a
XM_036980165.1,nf2a
XR_002473856.2,LOC110526008
XM_021606586.2,LOC110526009
XM_036980166.1,LOC110526009
XM_021606590.2,LOC110526012
XM_036980168.1,fbxw8
XM_036980169.1,fbxw8
XM_036980167.1,fbxw8
XM_021606588.2,fbxw8
XR_002473857.2,LOC110526014
XM_021606591.2,LOC110526013
XM_021606592.2,LOC110526015
XM_021606593.2,lrrc74b
XM_036980173.1,nos1
XM_036980172.1,nos1
XM_036980174.1,nos1
XM_036981750.1,LOC110526017
XM_036981751.1,LOC118965027
XM_021606597.2,LOC110526019
XR_005052115.1,LOC110526020
XM_021606595.2,wsb2
XM_021606599.2,LOC110526021
XM_036980179.1,taok3a
XM_036980176.1,taok3a
XM_036980177.1,taok3a
XM_036980178.1,taok3a
XM_036980181.1,taok3a
XM_036980180.1,taok3a
XR_002473860.2,LOC110526024
XR_005052116.1,LOC110526024
XR_005052117.1,LOC110526024
XR_002473859.2,LOC110526024
XM_021606601.2,LOC110526024
XM_036980184.1,LOC110526024
XM_036980185.1,LOC110526024
XM_036980183.1,LOC110526024
XM_021606604.2,LOC110526024
XM_021606602.2,LOC110526024
XM_021606605.2,LOC110526024
XM_021606606.2,LOC110526025
XM_036980186.1,LOC110526027
XM_021606608.2,LOC110526027
XM_021606607.2,LOC110526026
XM_021606612.2,LOC110526028
XM_021606609.2,LOC110526028
XM_021606610.2,LOC110526028
trnaw,tRNA
XM_036980188.1,unclassified transcription discrepancy
XM_036980190.1,znrf3
XM_036980189.1,znrf3
XM_021606617.2,coq5
XM_021606616.2,coq5
XM_021606615.2,coq5
XM_021606618.2,coq5
XM_021606620.2,kremen1
XM_021606619.2,kremen1
XM_021606623.2,si:dkey-174n20.1
XM_036980192.1,si:dkey-174n20.1
XM_021606621.2,si:dkey-174n20.1
XM_021606622.2,si:dkey-174n20.1
XM_036980203.1,LOC110526035
XM_036980194.1,LOC110526035
XM_036980209.1,LOC110526035
XM_036980201.1,LOC110526035
XM_036980212.1,LOC110526035
XM_036980245.1,LOC110526035
XM_036980198.1,LOC110526035
XM_036980224.1,LOC110526035
XM_036980223.1,LOC110526035
XM_036980217.1,LOC110526035
XM_036980215.1,LOC110526035
XM_036980207.1,LOC110526035
XM_036980219.1,LOC110526035
XM_036980202.1,LOC110526035
XM_036980214.1,LOC110526035
XM_036980205.1,LOC110526035
XM_036980196.1,LOC110526035
XM_036980208.1,LOC110526035
XM_036980220.1,LOC110526035
XM_036980216.1,LOC110526035
XM_036980200.1,LOC110526035
XM_036980218.1,LOC110526035
XM_036980206.1,LOC110526035
XM_036980199.1,LOC110526035
XM_036980193.1,LOC110526035
XM_036980244.1,LOC110526035
XM_036980241.1,LOC110526035
XM_036980239.1,LOC110526035
XM_036980240.1,LOC110526035
XM_036980211.1,LOC110526035
XM_036980197.1,LOC110526035
XM_036980234.1,LOC110526035
XM_036980213.1,LOC110526035
XM_036980204.1,LOC110526035
XM_036980195.1,LOC110526035
XM_036980227.1,LOC110526035
XM_036980225.1,LOC110526035
XM_036980238.1,LOC110526035
XM_036980236.1,LOC110526035
XM_036980237.1,LOC110526035
XM_036980231.1,LOC110526035
XM_036980222.1,LOC110526035
XM_036980242.1,LOC110526035
XM_036980233.1,LOC110526035
XM_036980229.1,LOC110526035
XM_036980228.1,LOC110526035
XM_036980230.1,LOC110526035
XM_036980235.1,LOC110526035
XM_036980226.1,LOC110526035
XM_021606627.2,LOC110526036
XM_021606628.2,LOC110526037
XR_005052121.1,LOC118964875
XM_036979104.1,LOC100136024
NM_001124347.2,annotated by transcript or proteomic data
XM_021606629.2,LOC110526038
XR_002473699.2,LOC110525032
XR_005052124.1,LOC110526904
XR_005052122.1,LOC110526039
XR_005052123.1,LOC110526039
XM_036980247.1,LOC110526042
XM_036980248.1,LOC110526042
XM_036980249.1,LOC110526905
XM_021606633.2,apba1a
XM_021606637.2,apba1a
XM_021606631.2,apba1a
XM_021606632.2,apba1a
XM_021606635.2,apba1a
XM_036980251.1,LOC110526044
XM_036980252.1,ascc2
XM_021606643.2,rnf215
XM_021606644.2,rnf215
XM_036980253.1,rnf215
XM_021606642.2,rnf215
XM_021606645.2,LOC110526048
XM_021606647.2,LOC110526048
XM_021606646.2,LOC110526048
XM_036980255.1,LOC110526048
XM_021606649.2,LOC110526049
XM_036980257.1,msh3
XM_021606650.2,msh3
XM_021606651.2,msh3
XM_036980256.1,msh3
XM_021606652.2,msh3
XM_036980258.1,rasgrf2b
XM_036980260.1,rasgrf2b
XR_005052125.1,LOC118964876
XM_036980261.1,LOC110526054
XM_021606657.2,LOC110526054
XR_002473865.2,LOC110526055
XR_005052126.1,LOC110526907
XM_036980264.1,LOC110526907
XM_036980263.1,LOC110526907
XM_021606655.2,utp15
XM_036979106.1,si:dkey-88e18.2
NM_001124392.1,annotated by transcript or proteomic data
XM_021606654.2,LOC110526052
XM_036980265.1,LOC110526052
XM_036981752.1,LOC118965029
XM_036981754.1,LOC118965030
XM_036980267.1,LOC118964877
XM_036981755.1,LOC110526909
XM_036980271.1,LOC110526910
XM_036980270.1,LOC110526910
XM_036980269.1,LOC110526910
XM_036980272.1,LOC110526910
XM_036980273.1,LOC118964878
XM_036980284.1,LOC118964881
XM_036980286.1,LOC118964881
XM_036980285.1,LOC118964881
XR_005052130.1,LOC118964883
XR_005052128.1,LOC118964880
XM_036980281.1,LOC118964880
XM_036980280.1,LOC118964880
XM_036980282.1,LOC118964880
XM_036980283.1,LOC118964880
XR_005052131.1,LOC118964884
XM_036980274.1,LOC118964879
XM_036980275.1,LOC118964879
XM_036980278.1,LOC118964879
XM_036980279.1,LOC118964879
XM_036980276.1,LOC118964879
XR_005052129.1,LOC118964882
XM_036980300.1,LOC118964888
XM_036980299.1,LOC118964888
XR_005052134.1,LOC118964890
XM_036980289.1,LOC110513487
XM_036980288.1,LOC110513487
XM_036980301.1,LOC118964889
XM_036980302.1,LOC118964889
XR_005052133.1,LOC110511762
XM_036980293.1,LOC110512140
XM_036980294.1,LOC110512140
XM_036980296.1,LOC110512140
XM_036980295.1,LOC110512140
XM_036980292.1,LOC110512140
XM_036981756.1,LOC118965031
XM_036980297.1,LOC118964887
XM_036980298.1,LOC118964887
XM_036980290.1,LOC118964885
XM_036980291.1,LOC118964885
XR_005052135.1,LOC118964891
XM_036980312.1,LOC118964891
XM_036980314.1,LOC110512142
XR_005052140.1,LOC110512253
XR_005052138.1,LOC110512253
XR_005052139.1,LOC110512253
XR_005052136.1,LOC118936658
XM_036980315.1,LOC118936658
XM_036981757.1,LOC118965032
XR_005052141.1,LOC118964894
XM_036980306.1,LOC110526080
XM_036980309.1,LOC110526080
XM_036980304.1,LOC110526080
XM_036980310.1,LOC110526080
XM_036980307.1,LOC110526080
XM_036980305.1,LOC110526080
XM_036980311.1,LOC110526080
XM_036980308.1,LOC110526080
XM_036980303.1,LOC110526080
XR_002472118.2,LOC110514397
XM_036980321.1,LOC118964893
XR_005052137.1,LOC118964892
XM_036980317.1,LOC118964892
XM_036980318.1,LOC118964892
XM_036980316.1,LOC118964892
XM_036980319.1,LOC118964892
XM_036980322.1,cntrl
XM_036980324.1,cntrl
XM_036980323.1,cntrl
XM_021606685.2,rab14
XM_021606684.2,c5
XM_021606683.2,prdm12b
XM_036980331.1,LOC110526076
XM_036980329.1,LOC110526076
XM_036980332.1,LOC110526076
XM_036980328.1,LOC110526076
XM_021606677.2,LOC110526076
XM_036980326.1,LOC110526076
XM_036980327.1,LOC110526076
XM_021606681.2,LOC110526076
XM_021606682.2,LOC110526076
XM_036980340.1,surf4l
XM_021606675.2,surf4l
XM_036980341.1,surf4l
XM_021606676.2,surf4l
XM_021606673.2,LOC110526072
XM_021606674.2,LOC110526072
XM_021606672.2,cmlc1
XM_021606671.2,qsox2
XM_021606668.2,LOC110526069
XM_021604927.2,edf1
XM_021604928.2,edf1
NM_001124502.1,annotated by transcript or proteomic data
XM_036980343.1,LOC118964897
XM_036980339.1,LOC110526068
XM_036980337.1,LOC110526068
XM_036980338.1,LOC110526068
XM_036980334.1,LOC110526068
XM_036980335.1,LOC110526068
XM_036980336.1,LOC110526068
XM_021606665.2,serpind1
XR_005052142.1,LOC110526066
XR_005052148.1,LOC118964903
XM_036980346.1,LOC118964899
XM_036980362.1,LOC110512258
XM_036980361.1,LOC110512258
XM_021592749.2,LOC110512256
XM_036980345.1,LOC118964898
XM_036980344.1,LOC118964898
XR_005052143.1,LOC118936342
XR_005052147.1,LOC118936342
XR_005052145.1,LOC118936342
XR_005052144.1,LOC118936342
XR_005052146.1,LOC118936342
XM_036980359.1,LOC118936342
XM_036980363.1,LOC118964902
XM_036980356.1,LOC118964901
XM_036980355.1,LOC118964901
XM_036980358.1,LOC118964901
XM_036980357.1,LOC118964901
XM_036980353.1,LOC118964901
XM_036980354.1,LOC118964901
XM_036980351.1,LOC118964900
XM_036980350.1,LOC118964900
XM_036980352.1,LOC118964900
XM_036980349.1,LOC118964900
XM_036980348.1,LOC118964900
XM_036980347.1,LOC118964900
XM_036980370.1,LOC118964904
XM_036980369.1,LOC118964904
XM_036980371.1,LOC118964904
XM_036980368.1,LOC118964904
XM_036980367.1,LOC118964904
XM_036980366.1,LOC118964904
XM_036980364.1,LOC118936463
XM_036981758.1,LOC118965033
XM_036981759.1,LOC118965034
XR_005052149.1,LOC118964906
XM_036980374.1,LOC118964905
XM_036980373.1,LOC118964905
XM_036980372.1,LOC118964905
XR_005052151.1,LOC110515945
XR_005052152.1,LOC110515945
XR_005052150.1,LOC110515945
XM_021606690.2,cfap77
XM_021606691.2,barhl1a
XM_021606694.2,ddx31
XM_021606692.2,ddx31
XM_021606693.2,ddx31
XM_021606695.2,ddx31
XM_036980375.1,ddx31
XM_021606700.2,ak8
XM_021606701.2,ak8
XM_036980377.1,ak8
XM_036981761.1,unclassified transcription discrepancy
XM_021606698.2,tsc1a
XM_021606697.2,tsc1a
XM_021606696.2,tsc1a
XM_036980376.1,tsc1a
XM_021606699.2,tsc1a
XM_036980380.1,grin1b
XM_036980378.1,grin1b
XM_036980379.1,grin1b
XM_021606704.2,kazald3
XM_021606703.2,kazald3
XM_021606705.2,kazald3
XM_021606706.2,dok2
XM_021606707.2,dok2
XM_021606710.2,rsph14
XM_021606708.2,rsph14
XM_036980384.1,LOC110526093
XM_036980385.1,LOC110526093
XM_021606711.2,LOC110526093
XM_036980383.1,LOC110526093
XM_036980386.1,si:dkey-220o5.5
XM_021606712.2,fam160b2
XM_021606713.2,fam160b2
XM_021606715.2,nudt18
XM_021606714.2,nudt18
XM_021606717.2,adam9
XM_036980388.1,adam9
XM_021606716.2,adam9
XM_021606718.2,adam9
XM_021606722.2,ogdha
XM_021606719.2,ogdha
XM_021606721.2,ogdha
XR_002473702.2,LOC110525036
XM_036980389.1,LOC110526111
XM_021606739.2,LOC110526111
XM_036980390.1,LOC110526111
XR_005052153.1,LOC110526116
XM_021606748.2,LOC110526116
XR_005052155.1,LOC118964908
XM_021606745.2,LOC110526114
XM_036980392.1,LOC110526115
XM_036980391.1,LOC110526115
XR_005052154.1,LOC110526117
XM_036980393.1,LOC118964907
XM_036980394.1,LOC118964907
XM_036980397.1,LOC110526112
XM_036980396.1,LOC110526112
XM_021606743.2,LOC110526112
XR_005052158.1,LOC110525037
XR_002473703.2,LOC110525037
XR_005052157.1,LOC110525037
XR_005052156.1,LOC110525037
XM_036980398.1,tti2
XM_021606749.2,tti2
XM_021606751.2,tti2
XM_021606750.2,tti2
XM_021606752.2,mak16
XR_005052457.1,LOC118965127
XM_021606754.2,spinb
XM_036980400.1,LOC110526125
XM_021606757.2,lrrc2
XM_021606758.2,LOC110526127
XR_005052159.1,LOC110526128
XM_021606760.2,LOC110526129
XM_036980402.1,zgc:101664
XM_021606764.2,zgc:101664
XM_021606762.2,zgc:101664
XM_021606763.1,zgc:101664
XM_021606761.1,zgc:101664
XM_021606765.2,LOC110526131
XM_021606766.2,LOC110526132
XM_021606769.2,nudt12
XM_021606772.2,nudt12
XM_021606770.2,nudt12
XM_021606767.2,LOC110526133
XM_021606773.2,znf608
XM_021606774.2,znf608
XM_036980405.1,znf608
XM_036980404.1,znf608
XM_021606776.2,LOC110526137
XM_036980406.1,LOC110526137
XM_021606777.2,prdm6
XM_036980408.1,prdm6
XM_036980409.1,prdm6
XM_036980410.1,prdm6
XR_002473892.2,LOC110526140
XM_036980411.1,snx2
XM_036980412.1,snx2
XM_021606782.2,LOC110526142
XM_021606781.2,LOC110526142
XM_036981762.1,LOC110526922
XM_036980418.1,osmr
XM_021606784.2,osmr
XM_036980416.1,LOC110526143
XM_036980415.1,LOC110526143
XM_036980417.1,LOC110526143
XM_036980414.1,LOC110526143
XR_005052160.1,LOC118964909
XR_005052161.1,LOC118964909
XM_036981763.1,cmya5
XM_021606785.2,tent2
XM_021606787.2,homer1b
XM_021606786.2,homer1b
XM_021568351.2,LOC110493840
XR_005052416.1,LOC118965080
XM_021606788.2,otpb
XM_021606790.2,otpb
XM_021606791.2,mapk8ip1b
XM_021606793.2,mapk8ip1b
XM_036980424.1,LOC110502468
XM_036980425.1,LOC110502468
XM_036980420.1,LOC110502468
XM_036980422.1,LOC110502468
XM_036980421.1,LOC110502468
XM_036980423.1,LOC110502468
XM_021606795.2,lrp4
XM_021606794.2,lrp4
XM_036980426.1,lrp4
XM_021606797.2,lrp4
XM_021606798.2,LOC110526151
XR_005052417.1,LOC118965081
XM_036980427.1,LOC110526152
XM_036980429.1,LOC110526152
XM_036980428.1,LOC110526152
XR_005052453.1,LOC118965122
XR_005052452.1,LOC118965121
XM_021606800.2,LOC110526153
XM_036980430.1,LOC110526924
XM_036980431.1,LOC110526924
XM_021606802.2,prmt3
XM_021606801.2,prmt3
XM_036980432.1,prmt3
XM_021606803.2,prmt3
XM_036980433.1,LOC110526155
XM_021606804.2,LOC110526155
XM_036980434.1,LOC110526157
XM_021606810.2,LOC110526157
XM_036980436.1,LOC110526157
XM_036980435.1,LOC110526157
XM_036981764.1,LOC110526925
XM_021606812.2,si:ch211-210p4.6
XM_036980437.1,LOC110526926
XM_036980439.1,brsk2b
XM_036980441.1,brsk2b
XM_036980443.1,brsk2b
XM_036980442.1,brsk2b
XM_036980440.1,brsk2b
XM_036980438.1,LOC110526159
XM_021606815.2,LOC110526159
XM_021606817.2,si:ch211-288d18.1
XM_021606816.2,si:ch211-288d18.1
XM_021606818.2,si:ch211-288d18.1
XM_036980444.1,si:ch211-288d18.1
XM_021606819.2,LOC110526161
XM_021606822.2,LOC110526161
XM_021606823.2,LOC110526161
XM_021606824.2,LOC110526161
XM_036980445.1,LOC110526161
XM_021606825.2,LOC110526161
XR_005052418.1,LOC118965082
XR_005052163.1,LOC118964910
XR_002473894.2,LOC110526162
XM_036980447.1,LOC110526163
XM_036980448.1,LOC110526163
XM_021606829.2,LOC110526163
XM_021606828.2,LOC110526163
XM_021606831.2,LOC110526163
XM_021606826.2,LOC110526163
XM_021606832.2,LOC110526163
XM_021606833.2,LOC110526163
XM_036980450.1,LOC110526164
XM_021606834.2,LOC110526164
XM_021606835.2,LOC110526165
XM_021606836.2,LOC110526166
XM_021606837.2,LOC110526167
XM_036980455.1,LOC110526168
XM_036980454.1,LOC110526168
XM_036980451.1,LOC110526168
XM_036980452.1,LOC110526168
XM_036980456.1,LOC110526168
XM_036980453.1,LOC110526168
XM_021606840.2,LOC110526169
XM_036980457.1,LOC110526169
XM_021606841.2,LOC110526170
XR_002473897.2,LOC110526172
XR_005052166.1,LOC110526172
XR_005052165.1,LOC110526171
XR_005052164.1,LOC110526171
XM_036980460.1,LOC110526171
XM_036980461.1,LOC110526171
XM_036980459.1,LOC110526171
XR_005052167.1,LOC110526173
XM_036980464.1,LOC110526173
XM_036980463.1,LOC110526173
XM_021606848.2,LOC110526174
XM_021606851.2,LOC110526175
XM_036980465.1,LOC110526175
XM_021606850.2,LOC110526175
XM_036980466.1,LOC110526176
XR_005052449.1,LOC118965118
XM_021606857.2,LOC110526178
XM_021606856.2,LOC110526178
XM_021606855.2,LOC110526177
XM_021606858.2,LOC110526179
NM_001159338.1,annotated by transcript or proteomic data
XM_036979135.1,nr1h3
XM_036979136.1,nr1h3
XM_021604940.2,nr1h3
XM_021604946.2,nr1h3
XM_036979134.1,nr1h3
XM_021604944.2,nr1h3
XM_036979137.1,nr1h3
XM_021604942.2,nr1h3
XM_021604941.2,nr1h3
XR_005052168.1,LOC110526181
XM_036980467.1,LOC110526181
XM_036980470.1,LOC110526181
XM_036980478.1,LOC110526181
XM_021606866.2,LOC110526181
XM_036980484.1,LOC110526181
XM_036980477.1,LOC110526181
XM_036980473.1,LOC110526181
XM_036980475.1,LOC110526181
XM_036980468.1,LOC110526181
XM_036980476.1,LOC110526181
XM_036980481.1,LOC110526181
XM_036980483.1,LOC110526181
XM_036980471.1,LOC110526181
XM_036980469.1,LOC110526181
XM_021606891.2,LOC110526181
XM_036980491.1,LOC110526181
XM_036980490.1,LOC110526181
XM_036980472.1,LOC110526181
XM_036980480.1,LOC110526181
XM_036980479.1,LOC110526181
XM_036980482.1,LOC110526181
XM_036980485.1,LOC110526181
XM_021606875.2,LOC110526181
XM_036980474.1,LOC110526181
XM_021606876.2,LOC110526181
XM_036980486.1,LOC110526181
XM_021606886.2,LOC110526181
XM_036980487.1,LOC110526181
XM_036980489.1,LOC110526181
XM_036980488.1,LOC110526181
XM_021606887.2,LOC110526181
XM_036980494.1,LOC110526182
XM_036980492.1,LOC110526182
XM_036980493.1,LOC110526182
XM_021606896.2,LOC110526183
XM_021606897.2,LOC110526184
XM_036980495.1,LOC110526184
XM_021606898.2,LOC110526185
XM_021606902.2,LOC110526186
XM_021606901.2,LOC110526186
XM_021606900.2,LOC110526186
XM_036980539.1,LOC110526186
XM_036980529.1,LOC110526187
XM_021606930.2,LOC110526187
XM_021606904.2,LOC110526187
XM_021606936.2,LOC110526187
XM_021606929.2,LOC110526187
XM_036980513.1,LOC110526187
XM_036980503.1,LOC110526187
XM_036980499.1,LOC110526187
XM_036980520.1,LOC110526187
XM_036980519.1,LOC110526187
XM_036980537.1,LOC110526187
XM_036980507.1,LOC110526187
XM_036980527.1,LOC110526187
XM_036980525.1,LOC110526187
XM_036980501.1,LOC110526187
XM_036980530.1,LOC110526187
XM_036980518.1,LOC110526187
XM_036980517.1,LOC110526187
XM_036980508.1,LOC110526187
